Line,Breeding_Program,Kernel_Plumpness,Trial
FEG185-32,MN,77.42788132,CAP3_2008_BozemanIrr
FEG185-32,MN,76.2801,CAP3_2008_BozemanDry
FEG185-37,MN,81.08294676,CAP3_2008_BozemanIrr
FEG185-37,MN,76.9924,CAP3_2008_BozemanDry
FEG185-46,MN,85.2188,CAP3_2008_BozemanDry
FEG185-46,MN,82.95704397,CAP3_2008_BozemanIrr
FEG185-46,MN,77.83,CAP6Row_Dry_2012_FtCollins
FEG185-46,MN,76.75,SP6-LowN_2012_Crookston
FEG185-46,MN,76.4,SP6-LowN_2013_Prosper
FEG185-46,MN,75.79,CAP6Row_Irr_2012_FtCollins
FEG185-64,MN,80.21468867,CAP3_2008_BozemanIrr
FEG185-64,MN,73.9381,CAP3_2008_BozemanDry
FEG187-02,MN,88,SP6-NormN_2012_Pullman
FEG187-02,MN,80.5,SP6-LowN_2012_Crookston
FEG187-02,MN,79,SP6-NormN_2011_Crookston
FEG187-02,MN,78.25,SP6-LowN_2011_Crookston
FEG187-02,MN,78.08,CAP6Row_Dry_2012_FtCollins
FEG187-02,MN,77.04,CAP6Row_Irr_2012_FtCollins
FEG187-02,MN,76.47891532,CAP3_2008_BozemanIrr
FEG187-02,MN,70.7958,CAP3_2008_BozemanDry
FEG187-02,MN,70.003,SP6-LowN_2013_Prosper
FEG187-02,MN,70,SP6-NormN_2013_Prosper
FEG188-02,MN,87.45923286,CAP3_2008_BozemanIrr
FEG188-02,MN,82.0516,CAP3_2008_BozemanDry
